ts_BTC,size BID,price BID,size BTC,price BTC,size ASK,price ASK,Saldo,price BTC_EUR,size BID_norm,price BID_norm,size BID_Low,size BID_Medium,size BID_High,Saldo_binned,price BTC_binned,size BTC_binned
2023-01-08 17:00:00,423.57345473,16866.64406779661,11.001477,16947.787128712873,460.75153267,17061.8,-37.17807794000004,16100.397772277229,0.182160153676037,0.1020187949748967,1,0,0,Low,Low,Low
2023-01-08 18:00:00,419.08839771,16860.115853658535,8.260909999999999,16941.04,574.5125475799999,17057.305676855896,-155.42414986999995,16093.988,0.1802313296034101,0.1001463501621868,1,0,0,Low,Low,Low
2023-01-08 19:00:00,443.01338827,16859.154320987655,5.520343,16942.413223140495,476.72330334,17055.80172413793,-33.709915069999965,16095.29256198347,0.1905204067597805,0.0998705600573028,1,0,0,Low,Low,Low
2023-01-08 20:00:00,423.35164472,16860.115853658535,2.779776,16974.393805309734,444.22769765,17057.305676855896,-20.87605292999996,16125.674115044249,0.1820647630299584,0.1001463501621868,1,0,0,Low,Low,Low
2023-01-08 21:00:00,447.67857932,16880.191176470587,2.825074,16982.149253731342,376.45809742,17075.854166666668,71.22048189999998,16133.041791044774,0.1925266984881839,0.1059044232382016,1,0,0,Low,Low,Low
2023-01-08 22:00:00,457.25789543,16874.673575129535,39.182372,16976.157676348546,410.6484563,17073.355329949238,46.60943913,16127.34979253112,0.1966463374202819,0.1043218458608139,1,0,0,Low,Low,Low
2023-01-08 23:00:00,562.95353499,16922.782006920414,99.254483,17076.633738601824,407.09535898,17072.853535353537,155.85817600999997,16222.802051671732,0.2421013434650055,0.1181204715874217,1,0,0,Low,Low,Low
2023-01-09 00:00:00,600.24179975,16959.32596685083,28.257478,17158.73394495413,349.02378027000003,17219.15923566879,251.21801948,16300.79724770642,0.2581373720762038,0.1286021357547317,1,0,0,Medium,Low,Low
2023-01-09 01:00:00,984.89401823,16993.853828306266,28.864417,17189.4011741683,357.6194802,17264.5,627.27453803,16329.931115459884,0.4235592285398231,0.1385055356293056,0,1,0,Medium,Low,Low
2023-01-09 02:00:00,876.55672257,16991.596244131455,161.319746,17219.74678111588,415.81423646,17272.74683544304,460.74248611,16358.759442060084,0.3769681633871414,0.1378580075782984,0,1,0,Medium,Low,Low
2023-01-09 03:00:00,850.22748872,16990.936470588236,6.31745,17201.88950276243,423.05400992,17288.5,427.1734788,16341.795027624308,0.3656451278410505,0.1376687690633797,0,1,0,Medium,Low,Low
2023-01-09 04:00:00,843.46918202,17013.234541577825,7.315101,17240.610169491527,388.49882965,17295.5,454.97035237,16378.57966101695,0.3627386799196468,0.1440643784099515,0,1,0,Medium,Low,Low
2023-01-09 05:00:00,751.74465091,17001.859060402683,15.223261,17239.36211031175,344.23876528,17312.0,407.50588563,16377.394004796162,0.3232920278778879,0.1408016238084677,1,0,0,Medium,Low,Low
2023-01-09 06:00:00,730.29775947,17001.35874439462,12.141769,17213.338624338623,478.20892082,17297.588888888888,252.08883865,16352.67169312169,0.3140686712275661,0.1406581214517439,1,0,0,Medium,Low,Low
2023-01-09 07:00:00,701.96558289,16997.35616438356,0.976879,17214.69512195122,419.97684632,17296.087431693988,281.98873657,16353.960365853658,0.3018842588614059,0.1395100876984614,1,0,0,Medium,Low,Low
2023-01-09 08:00:00,688.75490643,16999.35746606335,10.168271,17223.26842105263,422.11089101,17309.101910828027,266.64401542,16362.105,0.296202932925502,0.1400841079235535,1,0,0,Medium,Low,Low
2023-01-09 09:00:00,781.89734293,17022.370901639344,26.080907000000003,17247.426799007444,423.93370665,17301.581395348836,357.96363628000006,16385.055459057072,0.3362593631789412,0.1466849005990855,0,1,0,Medium,Low,Low
2023-01-09 10:00:00,737.9214696399999,17018.86902286902,41.993543,17273.620767494358,357.56157161,17346.058394160584,380.35989803,16409.93972911964,0.3173472907931713,0.1456804796962867,1,0,0,Medium,Low,Low
2023-01-09 11:00:00,761.56581797,17027.373493975905,30.334696,17275.86888888889,356.22749068,17347.05925925926,405.33832729,16412.075444444446,0.3275156761753668,0.148119761324021,1,0,0,Medium,Low,Low
